trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
222,False,"{'a': 0.5, 'e': 0.10740220574263752}",35,23,18.161573639827743,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.5, 'e': 0.10632818368521114}",20,13,3.4359926837271004,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
224,False,"{'a': 0.5, 'e': 0.10526490184835903}",30,18,21.101930935098263,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.5, 'e': 0.10421225282987544}",20,13,-0.8864396502884193,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
226,False,"{'a': 0.5, 'e': 0.10317013030157668}",20,6,25.274769301614533,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.5, 'e': 0.10213842899856092}",30,17,10.736307984192006,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
228,False,"{'a': 0.5, 'e': 0.10111704470857531}",25,13,-3.4371440700836837,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
229,False,"{'a': 0.5, 'e': 0.10010587426148955}",30,12,31.340600548260433,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.5, 'e': 0.09910481551887466}",20,12,13.95430552271708,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.5, 'e': 0.0981137673636859}",25,14,-36.57682730212109,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
232,False,"{'a': 0.5, 'e': 0.09713262969004906}",25,11,23.011777465225926,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.5, 'e': 0.09616130339314856}",25,16,17.097623459447274,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.5, 'e': 0.09519969035921708}",20,14,8.657533663629241,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.5, 'e': 0.0942476934556249}",25,14,17.593846729890515,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.5, 'e': 0.09330521652106866}",20,8,9.638877691413457,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
237,False,"{'a': 0.5, 'e': 0.09237216435585796}",25,15,-31.303892404286444,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
238,False,"{'a': 0.5, 'e': 0.09144844271229938}",20,0,25.068268181055707,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
